% itera v0.1 Model Grids
%
% FORMAT: parameter 2, parameter 1 (as labelled), X1, X2, Y1, Y2
%         with emission lines given as ratios with respect to H-beta 4861
%
X1 =  SII6716.3Å,6730.7Å
X2 =  HI 6562.8Å
Y1 =  OIII 5006.8Å
Y2 =  HI 4861.3Å
           B     VELOCITY           X1           X2           Y1           Y2
--------------------------------------------------------------------------------
   0.0010000   1.0000E+02   1.3503E+00   3.1820E+00   3.0490E+00   1.0000E+00
   0.0010000   1.2500E+02   1.1314E+00   3.1450E+00   2.4040E+00   1.0000E+00
   0.0010000   1.5000E+02   1.3355E+00   3.0660E+00   1.6630E+00   1.0000E+00
   0.0010000   1.7500E+02   1.4725E+00   3.0370E+00   1.3260E+00   1.0000E+00
   0.0010000   2.0000E+02   2.0186E+00   3.0130E+00   1.0970E+00   1.0000E+00
   0.0010000   2.2500E+02   2.4410E+00   2.9870E+00   9.2250E-01   1.0000E+00
   0.0010000   2.5000E+02   2.8380E+00   2.9690E+00   8.1970E-01   1.0000E+00
   0.0010000   2.7500E+02   3.2760E+00   2.9590E+00   7.7620E-01   1.0000E+00
   0.0010000   3.0000E+02   4.0210E+00   2.9440E+00   6.7440E-01   1.0000E+00
   0.0010000   3.2500E+02   4.4730E+00   2.9370E+00   6.0740E-01   1.0000E+00
   0.0010000   3.5000E+02   4.7980E+00   2.9330E+00   5.7770E-01   1.0000E+00
   0.0010000   3.7500E+02   5.0280E+00   2.9310E+00   5.3300E-01   1.0000E+00
   0.0010000   4.0000E+02   5.0700E+00   2.9290E+00   4.9300E-01   1.0000E+00
   0.0010000   4.2500E+02   5.1030E+00   2.9290E+00   4.5210E-01   1.0000E+00
   0.0010000   4.5000E+02   4.9010E+00   2.9300E+00   4.3270E-01   1.0000E+00
   0.0010000   4.7500E+02   4.7400E+00   2.9300E+00   4.1360E-01   1.0000E+00
   0.0010000   5.0000E+02   4.6030E+00   2.9310E+00   3.9630E-01   1.0000E+00
   0.0010000   5.2500E+02   4.4300E+00   2.9310E+00   3.8440E-01   1.0000E+00
   0.0010000   5.5000E+02   4.2890E+00   2.9330E+00   3.7240E-01   1.0000E+00
   0.0010000   5.7500E+02   4.1380E+00   2.9340E+00   3.6120E-01   1.0000E+00
   0.0010000   6.0000E+02   3.9740E+00   2.9380E+00   3.4730E-01   1.0000E+00
