% itera v0.1 Model Grids
%
% FORMAT: parameter 2, parameter 1 (as labelled), X1, X2, Y1, Y2
%         with emission lines given as ratios with respect to H-beta 4861
%
X1 =  SII6716.3Å,6730.7Å
X2 =  HI 6562.8Å
Y1 =  OIII 5006.8Å
Y2 =  HI 4861.3Å
           B     VELOCITY           X1           X2           Y1           Y2
--------------------------------------------------------------------------------
    0.010000   1.0000E+02   3.5360E-01   3.0180E+00   2.4540E+00   1.0000E+00
    0.010000   1.2500E+02   3.4880E-01   2.9760E+00   2.1090E+00   1.0000E+00
    0.010000   1.5000E+02   2.8911E-01   2.9290E+00   1.5850E+00   1.0000E+00
    0.010000   1.7500E+02   2.5323E-01   2.9140E+00   1.2930E+00   1.0000E+00
    0.010000   2.0000E+02   2.7597E-01   2.9080E+00   1.0200E+00   1.0000E+00
    0.010000   2.2500E+02   2.7430E-01   2.9020E+00   8.3610E-01   1.0000E+00
    0.010000   2.5000E+02   2.9588E-01   2.9020E+00   7.1930E-01   1.0000E+00
    0.010000   2.7500E+02   3.3860E-01   2.9080E+00   6.4960E-01   1.0000E+00
    0.010000   3.0000E+02   3.4710E-01   2.9160E+00   5.5100E-01   1.0000E+00
    0.010000   3.2500E+02   3.3860E-01   2.9260E+00   4.7680E-01   1.0000E+00
    0.010000   3.5000E+02   3.0935E-01   2.9390E+00   4.3550E-01   1.0000E+00
    0.010000   3.7500E+02   2.8416E-01   2.9500E+00   3.7680E-01   1.0000E+00
    0.010000   4.0000E+02   2.3282E-01   2.9450E+00   2.9200E-01   1.0000E+00
    0.010000   4.2500E+02   2.3630E-01   2.9540E+00   2.7510E-01   1.0000E+00
    0.010000   4.5000E+02   2.2784E-01   2.9560E+00   2.4760E-01   1.0000E+00
    0.010000   4.7500E+02   2.2561E-01   2.9580E+00   2.1570E-01   1.0000E+00
    0.010000   5.0000E+02   2.3731E-01   2.9660E+00   1.9290E-01   1.0000E+00
    0.010000   5.2500E+02   2.4823E-01   2.9680E+00   1.7770E-01   1.0000E+00
    0.010000   5.5000E+02   2.7015E-01   2.9680E+00   1.5480E-01   1.0000E+00
    0.010000   5.7500E+02   2.8909E-01   2.9670E+00   1.3670E-01   1.0000E+00
    0.010000   6.0000E+02   3.0449E-01   2.9700E+00   1.2470E-01   1.0000E+00
    0.010000   6.2500E+02   3.2088E-01   2.9690E+00   1.1280E-01   1.0000E+00
    0.010000   6.5000E+02   3.2920E-01   2.9680E+00   1.0340E-01   1.0000E+00
    0.010000   6.7500E+02   3.3860E-01   2.9690E+00   9.2959E-02   1.0000E+00
    0.010000   7.0000E+02   3.3680E-01   2.9680E+00   8.5131E-02   1.0000E+00
    0.010000   7.2500E+02   3.3250E-01   2.9670E+00   7.7571E-02   1.0000E+00
    0.010000   7.5000E+02   3.2672E-01   2.9650E+00   7.0823E-02   1.0000E+00
    0.010000   7.7500E+02   3.3000E-01   2.9540E+00   6.6826E-02   1.0000E+00
    0.010000   8.0000E+02   3.3780E-01   2.9510E+00   6.4048E-02   1.0000E+00
