% itera v0.1 Model Grids
%
% FORMAT: parameter 2, parameter 1 (as labelled), X1, X2, Y1, Y2
%         with emission lines given as ratios with respect to H-beta 4861
%
X1 =  SII6716.3Å,6730.7Å
X2 =  NII6583.3Å, + HI6562.8Å,
Y1 =  OIII 5006.8Å
Y2 =  HI 4861.3Å
           B     VELOCITY           X1           X2           Y1           Y2
--------------------------------------------------------------------------------
   0.0010000   3.0000E+02   1.8162E+00   5.3030E+00   4.8580E+00   1.0000E+00
   0.0010000   3.2500E+02   1.8730E+00   5.4140E+00   5.3390E+00   1.0000E+00
   0.0010000   3.5000E+02   1.5596E+00   5.1820E+00   5.7910E+00   1.0000E+00
   0.0010000   3.7500E+02   1.2540E+00   4.6480E+00   5.0070E+00   1.0000E+00
   0.0010000   4.0000E+02   1.2913E+00   4.6930E+00   4.1860E+00   1.0000E+00
   0.0010000   4.2500E+02   1.0233E+00   4.3880E+00   3.1810E+00   1.0000E+00
   0.0010000   4.5000E+02   7.1350E-01   3.9696E+00   1.9810E+00   1.0000E+00
   0.0010000   4.7500E+02   7.5740E-01   3.8187E+00   1.5700E+00   1.0000E+00
   0.0010000   5.0000E+02   1.1163E+00   3.7902E+00   9.6740E-01   1.0000E+00
   0.0010000   5.2500E+02   1.6386E+00   3.9164E+00   7.6390E-01   1.0000E+00
   0.0010000   5.5000E+02   2.3173E+00   4.1390E+00   6.6010E-01   1.0000E+00
   0.0010000   5.7500E+02   2.9190E+00   4.3660E+00   5.8660E-01   1.0000E+00
   0.0010000   6.0000E+02   3.2870E+00   4.5040E+00   5.2640E-01   1.0000E+00
   0.0010000   6.2500E+02   3.6570E+00   4.6260E+00   4.6720E-01   1.0000E+00
   0.0010000   6.5000E+02   3.7020E+00   4.6230E+00   4.4550E-01   1.0000E+00
   0.0010000   6.7500E+02   3.6750E+00   4.6000E+00   4.3080E-01   1.0000E+00
   0.0010000   7.0000E+02   3.9350E+00   4.6480E+00   4.1400E-01   1.0000E+00
   0.0010000   7.2500E+02   3.9240E+00   4.6090E+00   4.0390E-01   1.0000E+00
   0.0010000   7.5000E+02   3.9420E+00   4.5770E+00   3.9160E-01   1.0000E+00
   0.0010000   7.7500E+02   3.8440E+00   4.5210E+00   3.8080E-01   1.0000E+00
   0.0010000   8.0000E+02   3.8540E+00   4.5120E+00   3.7170E-01   1.0000E+00
   0.0010000   8.2500E+02   3.8080E+00   4.4790E+00   3.6510E-01   1.0000E+00
   0.0010000   8.5000E+02   3.6290E+00   4.4070E+00   3.6110E-01   1.0000E+00
   0.0010000   8.7500E+02   3.6760E+00   4.4160E+00   3.4970E-01   1.0000E+00
   0.0010000   9.0000E+02   3.6850E+00   4.4190E+00   3.4020E-01   1.0000E+00
   0.0010000   9.2500E+02   3.6950E+00   4.4160E+00   3.3100E-01   1.0000E+00
   0.0010000   9.5000E+02   3.8150E+00   4.4250E+00   3.1990E-01   1.0000E+00
   0.0010000   9.7500E+02   3.8340E+00   4.4140E+00   3.1270E-01   1.0000E+00
